title,content,source,published_at,url,collected_at
Capital Advantage Inc. Reduces Holdings in NVIDIA Corporation $NVDA,"Capital Advantage Inc. lowered its position in shares of NVIDIA Corporation (NASDAQ:NVDA – Free Report) by 14.5% during the second quarter, according to its most recent disclosure with the Securities & Exchange Commission.
Capital Advantage Inc.’s holdings in NVIDIA were worth $2,278,000 as of its most recent SEC filing.
Finally, Harbour Capital Advisors LLC raised its stake in shares of NVIDIA by 0.5% during the second quarter.
Harbour Capital Advisors LLC now owns 44,233 shares of the computer hardware maker’s stock valued at $6,956,000 after purchasing an additional 205 shares during the period.
Following the completion of the transaction, the director owned 7,183,280 shares of the company’s stock, valued at approximately $1,265,765,768.80.",ETF Daily News,2025-09-29T08:32:50Z,https://www.etfdailynews.com/2025/09/29/capital-advantage-inc-reduces-holdings-in-nvidia-corporation-nvda/,2025-09-30 16:33:21.747999
Pinnacle Bancorp Inc. Raises Stock Position in Apple Inc. $AAPL,"Pinnacle Bancorp Inc. grew its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 1.7% during the 2nd quarter, HoldingsChannel reports.
Apple comprises approximately 2.1% of Pinnacle Bancorp Inc.’s holdings, making the stock its 5th largest holding.
Bridge Creek Capital Management LLC grew its position in shares of Apple by 0.9% during the 2nd quarter.
My Legacy Advisors LLC grew its position in shares of Apple by 2.4% during the 2nd quarter.
Finally, Spring Capital Management LLC boosted its position in shares of Apple by 1.3% during the 2nd quarter.",ETF Daily News,2025-09-29T08:32:50Z,https://www.etfdailynews.com/2025/09/29/pinnacle-bancorp-inc-raises-stock-position-in-apple-inc-aapl/,2025-09-30 16:33:22.908503
Microsoft Corporation $MSFT Position Boosted by Perpetual Ltd,"International Private Wealth Advisors LLC raised its holdings in shares of Microsoft by 6.4% in the 2nd quarter.
Microsoft Price PerformanceMSFT stock opened at $511.46 on Monday.
Insider Activity at MicrosoftIn other Microsoft news, CEO Satya Nadella sold 149,205 shares of Microsoft stock in a transaction that occurred on Wednesday, September 3rd.
Also, EVP Takeshi Numoto sold 4,850 shares of Microsoft stock in a transaction that occurred on Tuesday, August 12th.
Microsoft Company Profile(Free Report)Microsoft Corporation develops and supports software, services, devices and solutions worldwide.",ETF Daily News,2025-09-29T08:32:50Z,https://www.etfdailynews.com/2025/09/29/microsoft-corporation-msft-position-boosted-by-perpetual-ltd/,2025-09-30 16:33:24.057685
LongView Wealth Management Has $4.55 Million Stock Position in Microsoft Corporation $MSFT,"LongView Wealth Management reduced its stake in shares of Microsoft Corporation (NASDAQ:MSFT – Free Report) by 7.8% during the 2nd quarter, HoldingsChannel.com reports.
Norges Bank acquired a new stake in shares of Microsoft in the fourth quarter valued at approximately $44,343,058,000.
Nuveen LLC acquired a new stake in shares of Microsoft in the first quarter valued at approximately $18,733,827,000.
Following the completion of the sale, the chief executive officer owned 790,852 shares of the company’s stock, valued at $399,206,272.56.
Following the sale, the executive vice president directly owned 39,111 shares of the company’s stock, valued at $20,624,012.52.",ETF Daily News,2025-09-29T08:32:49Z,https://www.etfdailynews.com/2025/09/29/longview-wealth-management-has-4-55-million-stock-position-in-microsoft-corporation-msft/,2025-09-30 16:33:25.189220
Apple Inc. $AAPL Holdings Lowered by Thomasville National Bank,"Thomasville National Bank trimmed its stake in Apple Inc. (NASDAQ:AAPL – Free Report) by 8.5% during the second quarter, HoldingsChannel reports.
Apple accounts for approximately 3.3% of Thomasville National Bank’s portfolio, making the stock its 8th biggest position.
Thomasville National Bank’s holdings in Apple were worth $47,806,000 at the end of the most recent quarter.
Norges Bank acquired a new stake in shares of Apple in the fourth quarter valued at about $46,868,648,000.
Apple Stock Down 0.5%Shares of NASDAQ:AAPL opened at $255.46 on Monday.",ETF Daily News,2025-09-29T08:32:49Z,https://www.etfdailynews.com/2025/09/29/apple-inc-aapl-holdings-lowered-by-thomasville-national-bank/,2025-09-30 16:33:26.366507
Silver Oak Securities Incorporated Has $17.76 Million Stock Holdings in NVIDIA Corporation $NVDA,"Silver Oak Securities Incorporated reduced its holdings in shares of NVIDIA Corporation (NASDAQ:NVDA – Free Report) by 5.4% in the 2nd quarter, Holdings Channel.com reports.
NVIDIA makes up approximately 1.4% of Silver Oak Securities Incorporated’s portfolio, making the stock its 6th largest position.
Windsor Capital Management LLC bought a new position in shares of NVIDIA in the second quarter valued at $247,000.
Finally, WealthBridge Investment Counsel Inc. bought a new position in shares of NVIDIA in the second quarter valued at $1,367,000.
NVIDIA Stock PerformanceNVIDIA stock opened at $178.19 on Monday.",ETF Daily News,2025-09-29T08:32:49Z,https://www.etfdailynews.com/2025/09/29/silver-oak-securities-incorporated-has-17-76-million-stock-holdings-in-nvidia-corporation-nvda/,2025-09-30 16:33:27.107612
Microsoft Corporation $MSFT Stake Reduced by Mandatum Life Insurance Co Ltd,"Mandatum Life Insurance Co Ltd cut its stake in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 1.0% during the 2nd quarter, HoldingsChannel reports.
Ball & Co Wealth Management Inc. acquired a new stake in shares of Microsoft during the fourth quarter valued at about $31,000.
Bulwark Capital Corp acquired a new stake in shares of Microsoft during the second quarter valued at about $32,000.
LSV Asset Management acquired a new stake in shares of Microsoft during the fourth quarter valued at about $44,000.
Microsoft Stock PerformanceShares of MSFT stock opened at $511.46 on Monday.",ETF Daily News,2025-09-29T08:32:49Z,https://www.etfdailynews.com/2025/09/29/microsoft-corporation-msft-stake-reduced-by-mandatum-life-insurance-co-ltd/,2025-09-30 16:33:28.218250
Brendel Financial Advisors LLC Increases Stake in Apple Inc. $AAPL,"Ryan Investment Management Inc. acquired a new stake in shares of Apple in the second quarter valued at $31,000.
Conquis Financial LLC acquired a new stake in shares of Apple in the fourth quarter valued at $63,000.
LSV Asset Management acquired a new stake in shares of Apple in the fourth quarter valued at $65,000.
Finally, Elite Financial Inc. acquired a new stake in shares of Apple in the first quarter valued at $58,000.
Apple Dividend AnnouncementApple ( NASDAQ:AAPL Get Free Report ) last issued its quarterly earnings data on Thursday, July 31st.",ETF Daily News,2025-09-29T08:32:48Z,https://www.etfdailynews.com/2025/09/29/brendel-financial-advisors-llc-increases-stake-in-apple-inc-aapl/,2025-09-30 16:33:29.747044
AA Financial Advisors LLC Increases Position in Microsoft Corporation $MSFT,"AA Financial Advisors LLC grew its holdings in Microsoft Corporation (NASDAQ:MSFT – Free Report) by 3.8% in the second quarter, Holdings Channel.com reports.
Ball & Co Wealth Management Inc. purchased a new position in Microsoft during the fourth quarter worth approximately $31,000.
Bulwark Capital Corp purchased a new position in Microsoft during the second quarter worth approximately $32,000.
LSV Asset Management purchased a new position in Microsoft during the fourth quarter worth approximately $44,000.
IFS Advisors LLC now owns 150 shares of the software giant’s stock worth $57,000 after purchasing an additional 50 shares during the period.",ETF Daily News,2025-09-29T08:32:48Z,https://www.etfdailynews.com/2025/09/29/aa-financial-advisors-llc-increases-position-in-microsoft-corporation-msft/,2025-09-30 16:33:30.923084
SeaCrest Wealth Management LLC Cuts Stock Holdings in Apple Inc. $AAPL,"The institutional investor owned 318,283 shares of the iPhone maker’s stock after selling 31,115 shares during the period.
Apple accounts for about 7.1% of SeaCrest Wealth Management LLC’s holdings, making the stock its biggest position.
SeaCrest Wealth Management LLC’s holdings in Apple were worth $65,302,000 at the end of the most recent reporting period.
Kapstone Financial Advisors LLC boosted its holdings in Apple by 0.5% in the second quarter.
Finally, Kingstone Capital Partners Texas LLC boosted its holdings in Apple by 573,627.2% in the second quarter.",ETF Daily News,2025-09-29T08:32:48Z,https://www.etfdailynews.com/2025/09/29/seacrest-wealth-management-llc-cuts-stock-holdings-in-apple-inc-aapl/,2025-09-30 16:33:32.899016
